,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
36,36,巴姆-阿德巴约,热火,18.70,7.10-12.50,57%,0.00-0.10,25%,4.40-5.50,79.9%,64,33.50
37,37,安德鲁-威金斯,勇士,18.60,7.10-14.90,47.7%,2.00-5.20,38%,2.40-3.30,71.4%,71,33.30
38,38,乔丹-克拉克森,爵士,18.40,6.70-15.80,42.5%,3.10-8.80,34.7%,1.90-2.10,89.6%,68,26.70
39,39,朱-霍勒迪,雄鹿,17.70,7.00-13.90,50.3%,1.90-4.80,39.2%,1.80-2.30,78.7%,59,32.30
40,40,RJ-巴雷特,尼克斯,17.60,6.50-14.70,44.1%,1.70-4.30,40.1%,2.90-3.80,74.6%,72,34.90
41,40,约翰-科林斯,老鹰,17.60,6.80-12.20,55.6%,1.30-3.30,39.9%,2.70-3.20,83.3%,63,29.30
42,42,达里厄斯-加兰,骑士,17.40,6.70-14.90,45.1%,1.90-4.90,39.5%,2.10-2.40,84.8%,54,33.10
43,43,狄龙-布鲁克斯,灰熊,17.20,6.50-15.40,41.9%,1.90-5.60,34.4%,2.40-2.90,81.5%,67,29.80
44,44,约纳斯-瓦兰丘纳斯,灰熊,17.10,7.10-12.00,59.2%,0.30-0.90,36.8%,2.50-3.30,77.3%,62,28.30
45,45,博扬-波格丹诺维奇,爵士,17.00,5.60-12.90,43.9%,2.50-6.40,39%,3.20-3.70,87.9%,72,30.80
46,46,小蒂姆-哈达威,独行侠,16.60,5.80-13.00,44.7%,3.00-7.60,39.1%,2.00-2.50,81.6%,70,28.40
47,46,巴迪-希尔德,国王,16.60,5.70-14.00,40.6%,4.00-10.10,39.1%,1.20-1.50,84.6%,71,34.30
48,48,克里斯-保罗,太阳,16.40,6.30-12.60,49.9%,1.50-3.70,39.5%,2.40-2.60,93.4%,70,31.40
49,49,迈克-康利,爵士,16.20,5.60-12.60,44.4%,2.70-6.60,41.2%,2.40-2.80,85.2%,51,29.40
50,50,哈里森-巴恩斯,国王,16.10,5.50-11.10,49.7%,1.70-4.40,39.1%,3.40-4.10,83%,58,36.20
1,51,拉梅洛-鲍尔,黄蜂,15.70,5.80-13.20,43.6%,1.80-5.10,35.2%,2.50-3.20,75.8%,51,28.80
2,51,德章泰-默里,马刺,15.70,6.60-14.50,45.3%,0.90-3.00,31.7%,1.60-2.00,79.1%,67,31.90
3,53,丹尼斯-施罗德,湖人,15.40,5.40-12.50,43.7%,1.20-3.50,33.5%,3.40-4.00,84.8%,61,32.10
4,53,凯利-乌布雷,勇士,15.40,5.80-13.20,43.9%,1.60-5.20,31.6%,2.20-3.20,69.5%,55,30.70
5,55,克林特-卡佩拉,老鹰,15.20,6.60-11.00,59.4%,0.00-0.00,0%,2.10-3.60,57.3%,63,30.10
6,56,科比-怀特,公牛,15.10,5.40-13.10,41.6%,2.40-6.60,35.9%,1.90-2.10,90.1%,69,31.20
7,56,泰勒-希罗,热火,15.10,5.70-12.90,43.9%,2.00-5.50,36%,1.70-2.20,80.3%,54,30.30
8,58,德文特-格雷厄姆,黄蜂,14.80,4.60-12.20,37.7%,3.20-8.70,37.5%,2.40-2.90,84.2%,55,30.20
9,59,朗佐-鲍尔,鹈鹕,14.60,5.30-12.70,41.4%,3.10-8.30,37.8%,0.90-1.20,78.1%,55,31.80
10,59,肯德里克-纳恩,热火,14.60,5.70-11.80,48.5%,2.20-5.70,38.1%,1.00-1.10,93.3%,56,29.50
11,61,德安德烈-艾顿,太阳,14.40,6.20-10.00,62.6%,0.10-0.30,20%,1.90-2.50,76.9%,69,30.70
12,62,本-西蒙斯,76人,14.30,5.60-10.10,55.7%,0.10-0.20,30%,3.00-4.90,61.3%,58,32.40
13,62,鲁迪-戈贝尔,爵士,14.30,5.50-8.10,67.5%,0.00-0.10,0%,3.30-5.30,62.3%,71,30.80
14,64,里乔恩-霍姆斯,国王,14.20,6.00-9.40,63.7%,0.00-0.20,18.2%,2.20-2.80,79.4%,61,29.20
15,65,乔-哈里斯,篮网,14.10,5.20-10.20,50.5%,3.10-6.40,47.5%,0.70-0.90,77.8%,69,31.00
16,66,吕冈茨-多尔特,雷霆,14.00,4.80-12.30,38.7%,2.20-6.30,34.3%,2.30-3.20,74.4%,52,29.70
17,67,八村垒,奇才,13.80,5.40-11.40,47.8%,0.80-2.40,32.8%,2.20-2.80,77%,57,31.50
18,68,达里厄斯-贝兹利,雷霆,13.70,5.00-12.60,39.6%,1.50-5.20,29%,2.30-3.20,70.2%,55,31.20
19,69,克里斯-布歇,猛龙,13.60,4.80-9.30,51.4%,1.50-3.90,38.3%,2.50-3.20,78.8%,60,24.20
20,69,道格-麦克德莫特,步行者,13.60,5.40-10.10,53.2%,1.70-4.30,38.8%,1.20-1.50,81.6%,66,24.50
21,69,劳里-马尔卡宁,公牛,13.60,4.90-10.20,48%,2.30-5.80,40.2%,1.50-1.80,82.6%,51,25.80
22,72,米卡尔-布里奇斯,太阳,13.50,5.00-9.30,54.3%,1.90-4.40,42.5%,1.50-1.80,84%,72,32.60
23,72,蒙特雷兹-哈勒尔,湖人,13.50,5.40-8.70,62.2%,0.00-0.10,0%,2.60-3.70,70.7%,69,22.90
24,74,约什-杰克逊,活塞,13.40,4.80-11.40,41.9%,1.20-4.20,30%,2.60-3.50,72.9%,62,25.20
